STARS,SP_TYPE,RA,DEC,J,H,K,Ks,L,M,Lp,Mp,source
Hip063530,G2V,195.278,-33.48,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063535,G3V,195.298,-79.0059,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063559,G1V,195.361,-27.374,6.962,6.657,6.538,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063656,G3V,195.696,-28.4395,7.83,7.454,7.442,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063727,G3V,195.895,-33.6916,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063767,G2V,196.052,19.3974,9.039,8.909,8.84,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063778,G2V,196.088,-26.6867,7.396,7.094,7.047,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063792,G0V,196.119,-34.1499,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063797,G3V,196.129,-65.9218,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063798,G1V,196.139,-22.8259,7.674,7.379,7.366,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063840,G3V,196.259,-17.6779,6.901,6.571,6.473,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063890,G3V,196.404,-35.2099,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063923,G0V,196.497,14.8395,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063962,G0V,196.614,-56.8791,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064005,G0V,196.734,-56.7441,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064011,G1V,196.747,-37.7443,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064032,G3V,196.851,-12.6682,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064119,G0V,197.123,-82.721,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064131,G0V,197.161,29.3834,7.336,7.051,6.983,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064137,G0V,197.169,-36.9564,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064345,G1V,197.84,9.62533,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
